                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3431,                 1.1674,                 1.2583,                0.85346,                0.76812,                0.84172,                0.60716,                 1.3721,                 1.3334,                 1.4352,              0.0015985,              0.0015985,              0.0015985
                     86,                 1.4375,                 1.3712,                 1.2929,                 0.8387,                0.72536,                0.86614,                0.63771,                 1.3234,                 1.3743,                 1.4374,              0.0015977,              0.0015977,              0.0015977
                     87,                 1.4294,                 1.2719,                 1.3132,                0.79553,                0.75362,                0.87482,                0.68181,                 1.3839,                  1.198,                 1.4896,              0.0015969,              0.0015969,              0.0015969
                     88,                  1.507,                 1.3463,                  1.474,                0.79903,                0.65247,                 0.8732,                0.67654,                 1.4156,                 1.2942,                 1.4576,               0.001596,               0.001596,               0.001596
                     89,                 1.4502,                 1.2055,                 1.3211,                0.85166,                0.67565,                0.87338,                 0.6791,                 1.3994,                 1.3005,                 1.4446,              0.0015952,              0.0015952,              0.0015952
                     90,                 1.4902,                 1.2112,                 1.2889,                0.83747,                0.74102,                0.87014,                0.61765,                 1.4508,                 1.2784,                 1.4955,              0.0015944,              0.0015944,              0.0015944
                     91,                 1.4173,                 1.2883,                 1.3434,                0.95809,                0.71573,                0.89466,                0.58713,                 1.4054,                 1.2011,                 1.4696,              0.0015936,              0.0015936,              0.0015936
                     92,                 1.3659,                  1.184,                 1.2241,                0.88059,                0.76087,                0.88798,                0.57295,                 1.3072,                  1.168,                 1.4192,              0.0015927,              0.0015927,              0.0015927
                     93,                 1.4004,                 1.1707,                 1.2928,                0.65108,                0.78986,                0.86201,                0.55643,                  1.319,                 1.1444,                 1.4211,              0.0015919,              0.0015919,              0.0015919
                     94,                 1.5046,                 1.3055,                 1.4096,                0.82603,                0.76759,                0.86714,                0.51165,                 1.3485,                 1.1364,                  1.437,              0.0015911,              0.0015911,              0.0015911
                     95,                 1.4393,                 1.2697,                 1.3744,                0.78588,                 0.7596,                0.84916,                 0.4944,                  1.352,                 1.2887,                 1.4861,              0.0015903,              0.0015903,              0.0015903
                     96,                 1.5062,                  1.395,                 1.4276,                0.76786,                0.81884,                0.88762,                0.69006,                 1.2927,                 1.1625,                  1.425,              0.0015894,              0.0015894,              0.0015894
                     97,                 1.3312,                 1.3514,                 1.2042,                0.82849,                0.78986,                0.88521,                0.68709,                 1.3378,                 1.1528,                 1.4191,              0.0015886,              0.0015886,              0.0015886
                     98,                 1.3809,                 1.0739,                 1.2857,                0.85168,                0.77536,                0.88683,                0.65502,                  1.222,                 1.1275,                 1.3953,              0.0015878,              0.0015878,              0.0015878
                     99,                 1.4464,                 1.1933,                 1.3106,                0.56877,                0.81159,                0.87438,                0.68572,                 1.3035,                 1.2429,                 1.4122,               0.001587,               0.001587,               0.001587
                    100,                 1.3135,                 1.0514,                 1.2409,                0.92761,                0.72464,                0.85588,                0.67355,                 1.3661,                 1.2194,                 1.4397,              0.0015861,              0.0015861,              0.0015861
                    101,                 1.3508,                 1.1034,                 1.2612,                0.65558,                0.85507,                0.86853,                0.56762,                 1.2595,                 1.1166,                 1.3705,              0.0015853,              0.0015853,              0.0015853
                    102,                 1.3565,                 1.1359,                  1.359,                0.93965,                0.77546,                  0.882,                0.69277,                 1.3158,                 1.1107,                 1.4112,              0.0015845,              0.0015845,              0.0015845
                    103,                 1.3385,                 1.1503,                 1.2801,                0.89365,                0.66439,                0.88837,                0.75132,                 1.3025,                 1.1396,                 1.4269,              0.0015837,              0.0015837,              0.0015837
                    104,                 1.3681,                 1.1046,                 1.2043,                0.83963,                0.82718,                0.88354,                0.63937,                 1.3437,                 1.2304,                 1.4231,              0.0015828,              0.0015828,              0.0015828
                    105,                 1.3191,                 1.3103,                 1.2403,                0.91479,                0.65591,                0.88205,                0.65256,                 1.3105,                  1.109,                 1.4104,               0.001582,               0.001582,               0.001582
                    106,                  1.418,                 1.1466,                 1.2875,                 0.9502,                0.72201,                0.81256,                0.66174,                 1.2636,                  1.055,                 1.3943,              0.0015812,              0.0015812,              0.0015812
